import time: self [us] | cumulative | imported package
import time:       420 |        420 |   _io
import time:        55 |         55 |   marshal
import time:       416 |        416 |   posix
import time:       515 |       1404 | _frozen_importlib_external
import time:       135 |        135 |   time
import time:       150 |        284 | zipimport
import time:       124 |        124 |     _codecs
import time:       424 |        547 |   codecs
import time:      3214 |       3214 |   encodings.aliases
import time:      2466 |       6226 | encodings
import time:       421 |        421 | encodings.utf_8
import time:       180 |        180 | _signal
import time:        49 |         49 |     _abc
import time:       830 |        879 |   abc
import time:       478 |       1356 | io
import time:        77 |         77 |       _stat
import time:       276 |        352 |     stat
import time:      2420 |       2420 |     _collections_abc
import time:       168 |        168 |       genericpath
import time:      1220 |       1388 |     posixpath
import time:      3067 |       7225 |   os
import time:       343 |        343 |   _sitebuiltins
import time:       314 |        314 |   sitecustomize
import time:        75 |         75 |   usercustomize
import time:      2010 |       9966 | site
import time:       396 |        396 |   ghc_compiler_python
import time:       314 |        314 |   __future__
import time:       231 |        231 |       itertools
import time:       214 |        214 |       keyword
import time:       107 |        107 |         _operator
import time:       403 |        509 |       operator
import time:       356 |        356 |       reprlib
import time:        97 |         97 |       _collections
import time:      1417 |       2822 |     collections
import time:       500 |        500 |     types
import time:        87 |         87 |     _functools
import time:      1004 |       4411 |   functools
import time:      2169 |       2169 |     enum
import time:       241 |        241 |       _sre
import time:      1266 |       1266 |         re._constants
import time:       957 |       2222 |       re._parser
import time:       184 |        184 |       re._casefix
import time:       634 |       3280 |     re._compiler
import time:       379 |        379 |     copyreg
import time:       841 |       6667 |   re
import time:       246 |        246 |     fnmatch
import time:       103 |        103 |       _winapi
import time:       129 |        129 |       nt
import time:        76 |         76 |       nt
import time:        71 |         71 |       nt
import time:        69 |         69 |       nt
import time:        67 |         67 |       nt
import time:        67 |         67 |       nt
import time:       125 |        705 |     ntpath
import time:       631 |        631 |     warnings
import time:       256 |        256 |     errno
import time:       839 |        839 |       urllib
import time:       386 |        386 |       math
import time:      3490 |       3490 |       ipaddress
import time:      3767 |       8481 |     urllib.parse
import time:      1435 |      11751 |   pathlib
import time:       417 |        417 |     collections.abc
import time:       928 |        928 |     contextlib
import time:        56 |         56 |     _typing
import time:      4269 |       5669 |   typing
import time:     18117 |      47322 | ghc_compiler_python.wrapper
